Rank,Player,Team,Position,SF,SG,PG,C,PF,id,type,action,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,%ROST,#ERROR!,tot,avg,checked
239,Kyle Lowry,Phi,PG,False,False,False,False,False,239,,,25.4,2.5,5.8,1.0,1.2,1.5,3.0,3.9,0.9,0.3,1.3,7.5,1.7,0.0,1302.0,21.0,False
240,Toumani Camara,Por,PF,False,False,False,False,False,240,,,23.3,3.1,6.8,1.5,1.9,1.0,4.6,1.2,0.9,0.4,1.1,8.6,0.4,0.1,1301.0,18.6,False
241,Yves Missi,NO,C,False,False,False,False,False,241,,,21.9,3.3,6.9,1.5,2.3,0.0,5.3,1.1,0.3,1.5,1.4,8.2,0.9,0.2,1297.0,19.1,False
242,Rudy Gay,GSP,F,False,False,False,False,False,242,,,18.0,2.7,6.5,1.0,1.3,1.1,4.1,1.0,0.4,0.3,0.8,7.5,0.5,0.1,796.0,14.5,False
243,Mason Plumlee,Phx,C,False,False,False,False,False,243,,,19.2,2.7,4.3,1.7,2.7,0.0,6.5,2.0,0.5,0.5,1.1,7.1,0.8,-0.1,1285.0,19.5,False
244,Marcus Sasser,Det,PG,False,False,False,False,False,244,,,19.0,3.1,7.2,0.8,0.9,1.3,1.8,3.3,0.6,0.2,1.3,8.3,0.5,0.1,1285.0,17.6,False
245,Monte Morris,Phx,PG,False,False,False,False,False,245,,,20.8,3.0,6.7,0.7,0.9,1.1,2.4,3.4,0.6,0.2,0.6,7.9,0.5,-0.1,1275.0,19.3,False
246,Cameron Payne,NYP,G,False,True,False,False,False,246,,,18.9,3.2,7.4,0.8,1.0,1.4,1.8,3.3,0.6,0.2,1.1,8.6,0.7,0.1,1270.0,18.1,False
247,Alec Burks,Mia,SG,False,False,False,False,False,247,,,20.2,3.3,8.7,2.4,2.8,1.9,2.7,1.7,0.6,0.2,0.8,10.9,0.5,0.0,1264.0,18.1,False
248,Isaiah Collier,Utah,PG,False,False,False,False,False,248,,,17.9,3.1,7.2,1.4,1.9,0.7,2.3,3.4,1.0,0.3,1.9,8.3,0.6,0.1,1264.0,18.1,False
249,Ben Simmons,Bkn,PG,False,False,False,False,True,249,,,25.2,3.0,5.3,0.5,1.2,0.0,7.0,5.9,1.1,0.6,2.1,6.6,13.5,3.2,1262.0,28.0,False
250,Taurean Prince,Mil,SF,False,False,False,False,False,250,,,24.5,3.1,6.9,0.8,1.0,1.7,2.7,1.4,0.7,0.4,0.9,8.6,0.5,0.0,1249.0,17.3,False
251,Isaiah Jackson,Ind,PF,False,False,False,True,False,251,,,13.5,2.6,4.1,1.3,1.8,0.0,4.1,0.8,0.6,1.1,0.7,6.5,0.7,0.0,1240.0,18.2,False
252,Nicolas Batum,LAC,PF,False,False,False,False,False,252,,,24.0,1.9,4.3,0.3,0.4,1.3,4.0,1.9,0.8,0.6,0.6,5.4,0.6,-0.1,1239.0,18.2,False
253,Guerschon Yabusele,Phi,PF,False,False,False,False,False,253,,,19.6,2.9,6.2,1.4,1.9,0.5,4.9,1.3,0.6,0.7,1.1,7.6,0.6,0.3,1236.0,17.7,False
254,John Konchar,Mem,SG,True,False,False,False,False,254,,,20.8,1.7,3.9,0.4,0.5,0.7,4.6,1.8,0.9,0.7,0.7,4.5,0.3,0.0,1227.0,17.8,False
255,Kyle Filipowski,Utah,PF,False,False,False,False,False,255,,,15.2,2.8,6.3,1.9,2.6,1.2,4.2,1.6,0.7,0.5,1.0,8.8,1.0,-0.1,1226.0,18.9,False
256,Ja'Kobe Walter,Tor,SG,False,False,False,False,False,256,,,21.2,3.3,7.7,0.9,1.1,1.4,3.4,1.7,0.7,0.3,0.9,8.9,0.4,0.0,1224.0,18.0,False
257,Simone Fontecchio,Det,SF,False,False,False,False,False,257,,,22.3,3.4,7.7,0.8,1.0,1.8,3.2,1.3,0.6,0.3,1.0,9.4,0.5,0.1,1215.0,17.6,False
258,Jarred Vanderbilt,LAL,PF,False,False,False,False,False,258,,,21.8,2.5,4.6,1.0,1.5,0.3,5.9,1.6,1.2,0.2,1.1,6.2,21.4,-9.5,1208.0,18.9,False
259,Delon Wright,Mil,PG,False,True,False,False,False,259,,,18.0,1.8,4.3,0.8,1.0,0.6,2.3,2.8,1.3,0.3,0.5,5.0,0.4,0.0,1196.0,18.1,False
260,Jonathan Isaac,Orl,PF,False,False,False,False,False,260,,,15.6,2.5,4.9,1.0,1.4,0.7,4.5,0.5,0.8,1.2,0.5,6.7,2.2,-0.2,1193.0,19.6,False
261,Jose Alvarado,NOP,G,False,False,False,False,False,261,,,18.8,2.7,6.5,0.7,1.0,1.3,2.3,2.4,1.1,0.2,0.9,7.4,0.7,0.0,1191.0,17.8,False
262,Danilo Gallinari,FAP,F,True,False,False,False,False,262,,,17.5,2.5,5.8,1.8,2.1,1.0,3.1,1.3,0.3,0.1,0.5,7.9,0.2,0.0,,14.1,False
263,Isaiah Joe,OKC,SG,False,False,False,False,False,263,,,18.1,2.7,6.1,0.7,0.8,1.9,2.2,1.2,0.6,0.2,0.6,8.0,0.4,0.1,1181.0,15.7,False
264,Lonnie Walker IV,Bos,SG,False,False,False,False,False,264,,,19.2,3.8,8.9,1.0,1.3,1.8,2.2,1.4,0.6,0.3,0.9,10.4,0.6,0.0,1179.0,17.3,False
265,Larry Nance Jr.,Atl,PF,False,False,False,True,False,265,,,17.8,2.1,3.7,0.7,0.9,0.4,4.5,1.6,0.8,0.3,0.7,5.3,0.5,-0.1,1167.0,16.7,False
266,Goga Bitadze,Orl,C,False,False,False,False,False,266,,,14.9,2.0,3.5,0.9,1.4,0.1,4.4,1.2,0.5,1.1,0.7,5.1,0.2,0.0,1162.0,17.1,False
267,Trey Lyles,Sac,PF,False,False,False,False,False,267,,,19.1,2.8,6.2,1.6,2.0,1.2,4.5,1.1,0.3,0.4,0.8,8.4,0.1,0.0,1161.0,16.6,False
268,Malik Beasley,Det,SG,False,False,False,False,False,268,,,23.7,3.5,8.2,0.4,0.5,2.4,3.0,1.2,0.6,0.1,0.6,9.7,1.3,-0.2,1403.0,17.8,False
269,Pat Connaughton,Mil,SG,True,False,False,False,False,269,,,22.6,2.2,5.2,0.6,0.8,1.3,3.5,1.9,0.6,0.2,0.6,6.3,0.3,0.0,1148.0,15.9,False
270,Davion Mitchell,Tor,PG,False,False,False,False,False,270,,,22.1,3.0,6.8,0.6,0.8,1.1,1.8,2.8,0.4,0.1,0.9,7.7,0.7,0.1,1143.0,15.4,False
271,Torrey Craig,Chi,PF,True,False,False,False,False,271,,,21.2,2.3,5.3,0.4,0.6,1.2,4.4,1.2,0.6,0.5,0.7,6.3,0.3,0.0,1141.0,16.5,False
272,Xavier Tillman,Bos,PF,False,False,False,True,False,272,,,17.9,2.4,5.0,0.6,1.1,0.3,4.1,1.4,0.9,0.7,0.7,5.6,0.7,-0.1,1138.0,17.0,False
273,Josh Green,Cha,SG,True,False,False,False,False,273,,,25.0,3.1,6.2,0.8,1.1,1.1,3.1,2.0,0.8,0.1,1.0,8.0,0.4,0.0,1135.0,17.5,False
274,Malaki Branham,SAS,G,False,False,False,False,False,274,,,22.8,3.9,9.0,0.8,0.9,1.3,2.3,2.1,0.4,0.1,1.3,9.8,1.3,-0.5,1129.0,15.7,False
275,Mo Bamba,LAC,C,False,False,False,False,False,275,,,15.0,2.1,4.4,0.7,1.0,0.7,4.7,0.8,0.4,1.1,0.7,5.6,0.9,-0.1,1127.0,16.8,False
276,Dalano Banton,Por,PG,False,False,False,False,False,276,,,17.0,3.2,7.9,1.4,1.8,0.9,2.9,2.1,0.6,0.3,1.2,8.7,0.6,-0.1,1120.0,16.0,False
277,Vasilije Micic,Cha,PG,False,True,False,False,False,277,,,26.8,3.6,8.4,1.4,1.7,1.0,2.0,6.0,0.7,0.2,2.3,9.6,2.1,-0.7,1105.0,22.1,False
278,Nikola Jovic,Mia,PF,False,False,False,False,False,278,,,18.8,2.6,5.9,0.8,1.1,1.3,3.9,1.8,0.5,0.3,0.9,7.4,1.3,0.1,1103.0,16.7,False
279,Luke Kornet,Bos,C,False,False,False,False,False,279,,,14.5,2.1,3.0,0.7,0.8,0.0,3.8,1.0,0.3,0.9,0.3,4.9,0.5,0.1,1102.0,16.0,False
280,Mitchell Robinson,NY,C,False,False,False,False,False,280,,,21.4,2.4,3.7,0.8,1.8,0.0,7.3,0.6,0.9,1.2,0.7,5.5,3.2,-0.8,1096.0,21.1,False
281,Rob Dillingham,Min,PG,False,False,False,False,False,281,,,16.8,3.5,8.2,1.0,1.4,1.0,1.9,2.7,0.7,0.1,1.6,9.0,16.7,2.0,1095.0,15.6,False
282,Moses Moody,GSS,G,True,False,False,False,False,282,,,18.5,3.0,6.4,1.1,1.4,1.2,3.0,0.9,0.6,0.3,0.7,8.2,0.6,0.0,1086.0,15.5,False
283,Dario Saric,Den,PF,False,False,False,False,False,283,,,16.3,2.6,5.7,1.2,1.4,1.1,4.2,2.0,0.4,0.1,1.1,7.5,0.3,0.0,1085.0,16.0,False
284,Jaylen Nowell,Wsh,SG,False,False,False,False,False,284,,,17.6,3.7,8.0,1.1,1.4,1.0,2.3,2.0,0.5,0.1,0.8,9.3,0.1,0.0,1084.0,16.4,False
285,James Wiseman,Ind,C,False,False,False,False,False,285,,,17.8,3.3,5.5,1.2,1.7,0.0,5.5,0.8,0.2,0.6,1.1,7.8,0.7,0.0,1084.0,16.4,False
286,Julian Champagnie,SAS,F,False,False,False,False,False,286,,,19.8,2.3,5.6,1.0,1.2,1.4,2.9,1.3,0.6,0.5,0.8,7.0,0.2,0.1,1075.0,15.6,False
287,Jaden Hardy,Dal,SG,False,False,False,False,False,287,,,16.5,3.3,8.0,1.0,1.3,1.3,2.2,1.8,0.4,0.1,1.0,8.9,0.4,0.1,1053.0,14.2,False
288,Jared Butler,Wsh,SG,False,False,False,False,False,288,,,14.2,2.5,5.1,0.8,0.9,0.6,1.5,3.1,0.7,0.2,1.3,6.3,0.3,0.1,1050.0,15.4,False
289,Gary Harris,Orl,SG,False,False,False,False,False,289,,,23.8,2.6,5.9,0.6,0.8,1.5,1.7,1.5,0.9,0.2,0.6,7.3,0.2,0.0,1046.0,15.8,False
290,Dante Exum,Dal,SG,False,False,False,False,False,290,,,19.8,2.9,5.5,0.9,1.2,1.0,2.7,2.9,0.4,0.1,0.9,7.8,0.2,0.0,1037.0,17.6,False
291,Oshae Brissett,FAP,F,False,False,False,False,False,291,,,,,,,,,,,,,,,0.1,0.0,,,False
292,Kenrich Williams,OKC,SF,False,False,False,False,False,292,,,16.8,2.3,4.7,0.2,0.4,0.9,3.5,1.5,0.6,0.2,0.5,5.6,0.3,-0.1,1032.0,14.7,False
293,Quentin Grimes,Dal,SG,False,False,False,False,False,293,,,22.5,2.8,6.9,0.8,1.0,1.7,2.3,1.5,0.7,0.2,0.7,8.1,0.4,0.0,1030.0,15.8,False
294,Jaxson Hayes,LAL,C,False,False,False,False,False,294,,,16.6,2.4,3.5,1.1,1.7,0.0,3.9,0.6,0.6,0.6,0.8,5.9,0.3,0.0,1030.0,14.9,False
295,Jake LaRavia,Mem,PF,False,False,False,False,False,295,,,19.7,2.7,6.9,1.9,2.3,1.3,3.1,1.3,0.7,0.3,1.1,8.5,0.2,0.0,1028.0,15.3,False
296,Kris Murray,Por,PF,False,False,False,False,False,296,,,22.3,2.4,6.1,0.6,0.9,0.8,3.7,1.3,0.9,0.3,0.9,6.1,0.4,0.0,1019.0,14.6,False
297,Joe Ingles,Min,SF,False,False,False,False,False,297,,,18.5,1.7,3.9,0.4,0.5,1.2,2.2,3.1,0.6,0.1,1.0,5.0,0.3,0.0,1018.0,14.8,False
298,Jared McCain,Phi,SG,False,False,False,False,False,298,,,16.7,2.2,5.1,1.0,1.1,1.0,3.4,1.7,0.7,0.3,1.3,6.2,6.0,0.1,1014.0,14.5,False
299,Trendon Watford,Bkn,PF,False,False,False,False,False,299,,,,,,,,,,,,,,,0.1,0.0,,,False
300,Chris Boucher,,,False,False,False,False,False,300,,,15.5,2.5,4.9,1.5,1.9,0.7,4.5,0.4,0.4,0.6,0.6,7.0,0.4,-0.1,1013.0,15.3,False
301,Sam Merrill,Cle,SG,False,False,False,False,False,301,,,17.3,2.6,6.4,0.5,0.5,2.3,2.0,1.7,0.3,0.1,0.3,7.9,0.1,0.0,1011.0,15.3,False
302,Gary Payton II,GSS,G,False,False,False,False,False,302,,,16.1,2.4,4.2,0.4,0.6,0.5,2.8,1.1,1.0,0.4,0.6,5.7,0.4,0.0,993.0,16.0,False
303,Dean Wade,Cle,PF,False,False,False,False,False,303,,,20.4,1.8,4.2,0.4,0.5,1.3,3.8,0.8,0.7,0.4,0.4,5.2,0.2,0.0,992.0,14.8,False
304,Johnny Davis,Wsh,SG,False,False,False,False,False,304,,,,,,,,,,,,,,,0.1,0.0,,,False
305,Jae'Sean Tate,Hou,SF,False,False,False,False,False,305,,,17.9,2.3,4.7,0.7,1.0,0.4,3.4,1.4,0.7,0.3,0.8,5.6,0.2,0.0,980.0,14.2,False
306,Thomas Bryant,Mia,C,False,False,False,False,False,306,,,13.9,2.8,4.7,1.2,1.5,0.2,4.3,0.6,0.3,0.5,0.6,7.0,0.2,0.0,978.0,15.3,False
307,Bol Bol,Phx,PF,False,False,False,True,False,307,,,14.3,2.7,4.6,0.6,0.8,0.5,4.0,0.6,0.3,0.8,0.8,6.5,2.0,-0.2,978.0,15.5,False
308,Devonte' Graham,Por,PG,False,False,False,False,False,308,,,18.4,2.3,6.4,1.0,1.3,1.6,1.8,2.7,0.6,0.2,0.9,7.3,0.1,0.0,972.0,15.4,False
309,Gabe Vincent,LAL,PG,False,False,False,False,False,309,,,23.1,2.6,6.7,0.6,0.7,1.2,1.6,2.3,0.9,0.1,1.0,6.9,0.4,0.0,971.0,14.5,False
310,Maxi Kleber,Dal,PF,False,False,False,False,False,310,,,21.7,1.7,4.0,0.8,1.1,0.9,3.7,1.5,0.4,0.8,0.7,5.1,0.2,0.0,956.0,15.2,False
311,Aaron Holiday,Hou,PG,False,False,False,False,False,311,,,15.8,2.2,5.0,0.7,0.8,1.0,1.5,1.8,0.6,0.1,0.7,6.1,0.1,0.0,956.0,12.9,False
312,Ochai Agbaji,Tor,SF,False,True,False,False,False,312,,,20.9,2.4,5.8,0.6,0.8,0.9,2.6,1.1,0.5,0.5,0.8,6.3,0.2,0.0,955.0,13.3,False
313,KJ Martin,Phi,SF,False,False,False,False,False,313,,,17.3,2.7,4.9,0.8,1.3,0.4,3.2,1.1,0.4,0.3,0.7,6.6,0.5,-0.2,953.0,13.8,False
314,Tristan Vukcevic,Wsh,PF,False,False,False,False,False,314,,,15.6,2.9,6.9,1.7,2.3,1.0,3.7,1.3,0.5,0.7,1.0,8.7,0.1,0.0,953.0,17.3,False
315,GG Jackson II,Mem,PF,False,False,False,False,False,315,,,25.7,5.1,11.7,2.5,3.2,2.2,4.1,1.2,0.6,0.5,1.4,15.0,2.1,-0.2,953.0,23.2,False
316,Mouhamed Gueye,Atl,PF,False,False,False,False,False,316,,,12.2,1.3,3.8,0.8,1.0,0.5,3.7,0.7,0.8,0.7,0.2,4.0,0.1,0.0,944.0,13.9,False
317,Keon Ellis,Sac,SG,False,False,False,False,False,317,,,15.7,1.7,3.7,0.4,0.6,1.1,2.0,1.4,0.8,0.5,0.6,5.0,0.6,0.2,942.0,14.5,False
318,Noah Clowney,Bkn,PF,False,False,False,False,False,318,,,16.1,2.1,4.0,0.9,1.3,0.5,3.5,0.8,0.3,0.7,0.7,5.7,1.0,0.3,940.0,13.8,False
319,Jaylin Williams,OKC,C,False,False,False,False,False,319,,,13.9,1.5,3.5,0.5,0.7,0.8,3.6,1.6,0.4,0.4,0.5,4.3,0.3,0.0,934.0,13.3,False
320,Dwight Powell,Dal,C,False,False,False,False,False,320,,,15.7,1.7,2.5,1.2,1.7,0.0,3.8,1.2,0.5,0.3,0.6,4.7,0.3,-0.1,930.0,13.5,False
321,Richaun Holmes,Wsh,C,False,False,False,False,True,321,,,15.5,2.6,4.2,0.9,1.2,0.0,4.6,0.6,0.2,0.6,0.7,6.1,0.1,0.0,924.0,14.4,False
322,Jevon Carter,Chi,PG,False,False,False,False,False,322,,,15.8,2.1,5.4,0.1,0.2,1.2,1.3,1.6,0.6,0.3,0.6,5.6,0.1,0.0,923.0,12.5,False
323,Seth Curry,Cha,SG,False,False,True,False,False,323,,,17.9,2.7,6.2,0.8,0.9,1.2,1.8,1.5,0.6,0.1,0.7,7.5,1.6,0.0,913.0,14.0,False
324,Malachi Flynn,SAP,G,False,False,False,False,False,324,,,,,,,,,,,,,,,0.1,0.0,,,False
325,John Wall,Hou,PG,False,False,False,False,False,325,,,22.1,4.0,9.9,2.3,3.3,1.0,2.7,5.2,0.8,0.4,2.3,11.3,0.2,0.0,615.0,22.8,False
326,Ziaire Williams,Bkn,SF,False,False,False,False,False,326,,,19.8,2.8,7.0,1.1,1.3,1.1,3.1,1.3,0.6,0.2,1.2,7.8,0.2,0.0,904.0,13.9,False
327,Josh Christopher,Mia,SG,False,False,False,False,False,327,,,,,,,,,,,,,,,0.1,0.0,,,False
328,Charles Bassey,SA,C,False,False,False,False,False,328,,,11.4,1.9,2.8,0.5,0.7,0.0,4.3,1.0,0.4,0.9,0.8,4.2,0.2,0.0,902.0,14.8,False
329,Amir Coffey,LAC,SG,False,False,False,False,False,329,,,19.8,2.3,4.9,0.9,1.1,0.9,2.0,1.2,0.5,0.2,0.5,6.4,0.4,0.4,898.0,13.0,False
330,Jordan Hawkins,NOS,G,False,False,False,False,False,330,,,17.3,2.8,6.8,1.0,1.2,1.6,2.2,1.0,0.3,0.1,0.6,8.2,0.4,0.0,898.0,13.0,False
331,Patty Mills,Utah,PG,False,True,False,False,False,331,,,21.2,2.9,7.2,0.5,0.6,1.9,1.5,1.7,0.6,0.1,0.8,8.2,0.2,0.0,894.0,14.7,False
332,Jeff Green,Hou,PF,False,False,False,False,False,332,,,18.0,2.4,5.1,1.6,2.0,0.6,2.4,1.0,0.2,0.4,0.7,7.1,0.2,0.0,882.0,12.4,False
333,Damion Lee,Phx,SF,False,False,False,False,False,333,,,20.3,2.7,6.1,1.2,1.3,1.3,3.1,1.2,0.5,0.1,0.9,7.9,0.1,0.0,882.0,14.5,False
334,Usman Garuba,FAP,F,False,False,False,False,False,334,,,,,,,,,,,,,,,0.0,0.0,,,False
335,Josh Okogie,Phx,SF,False,True,False,False,False,335,,,16.2,1.6,3.9,1.4,1.9,0.6,2.7,1.1,0.8,0.4,0.7,5.2,0.1,0.0,846.0,12.8,False
336,Shake Milton,Bkn,SG,False,False,False,False,False,336,,,15.5,2.2,5.1,1.0,1.2,0.5,1.9,1.9,0.4,0.2,0.8,5.9,0.1,0.0,836.0,12.1,False
337,Ricky Council IV,Phi,SG,False,False,False,False,False,337,,,16.2,2.7,5.4,2.7,3.5,0.5,2.6,1.0,0.5,0.1,1.5,8.5,0.2,0.0,830.0,12.2,False
338,Jordan McLaughlin,Sac,PG,False,False,False,False,False,338,,,12.1,1.3,2.8,0.3,0.4,0.7,1.3,2.2,0.7,0.1,0.4,3.6,0.1,0.0,827.0,12.2,False
339,Terrence Shannon Jr.,Min,SG,False,False,False,False,False,339,,,11.1,2.2,4.8,1.1,1.4,0.6,2.7,0.4,0.6,0.4,0.9,6.0,0.9,0.0,800.0,11.6,False
340,Julian Strawther,Den,SF,False,False,False,False,False,340,,,13.9,2.5,5.6,0.6,0.8,1.3,1.5,1.2,0.4,0.2,0.6,6.8,0.3,0.1,758.0,12.2,False
341,Anthony Black,Orl,PG,False,True,False,False,False,341,,,16.8,1.7,3.6,0.7,1.2,0.6,2.0,1.3,0.5,0.3,0.8,4.6,0.9,-0.1,746.0,10.7,False
342,Chris Duarte,Chi,SG,False,False,False,False,False,342,,,15.0,1.9,4.9,0.7,0.9,0.9,2.1,1.0,0.5,0.2,0.6,5.5,0.1,0.0,741.0,10.9,False
343,Garrison Mathews,Atl,SG,True,False,False,False,False,343,,,15.8,1.7,3.9,0.7,0.9,1.3,1.5,0.6,0.4,0.1,0.3,5.4,0.1,0.0,732.0,10.2,False
344,Jalen Wilson,Bkn,PF,False,False,False,False,False,344,,,15.5,1.8,4.2,0.9,1.1,0.5,3.1,1.0,0.3,0.1,0.4,5.0,0.2,0.0,722.0,10.6,False
345,Kobe Bufkin,Atl,PG,False,True,False,False,False,345,,,11.6,2.0,5.4,0.2,0.5,0.5,1.9,1.6,0.4,0.3,0.6,4.8,0.3,0.0,715.0,10.4,False
346,P.J. Tucker,LAC,PF,True,False,False,False,False,346,,,21.1,1.2,2.8,0.3,0.3,0.6,3.6,0.9,0.6,0.2,0.5,3.3,0.2,0.0,708.0,11.1,False
347,Ben Sheppard,Ind,SG,False,False,False,False,False,347,,,14.3,1.6,4.0,0.5,0.5,0.9,1.6,0.9,0.6,0.0,0.3,4.6,0.2,0.0,706.0,9.9,False
348,AJ Griffin,FAS,F,False,False,False,False,False,348,,,15.1,2.4,5.7,0.4,0.4,1.0,1.6,0.7,0.4,0.1,0.5,6.3,0.1,0.0,,10.5,False
349,Cam Reddish,LAL,SF,False,True,False,False,False,349,,,17.3,1.8,4.5,0.9,1.1,0.7,1.7,0.9,0.8,0.2,0.6,5.2,0.3,0.0,674.0,11.0,False
350,Jalen McDaniels,Sac,PF,False,False,False,False,False,350,,,14.2,1.9,4.7,0.8,1.0,0.4,2.3,1.0,0.5,0.2,0.7,4.9,0.2,0.0,672.0,9.9,False
351,Jarace Walker,Ind,PF,False,False,False,False,False,351,,,10.3,1.4,3.3,0.3,0.3,0.6,1.9,1.2,0.5,0.3,0.5,3.6,0.5,0.0,669.0,10.1,False
352,Saben Lee,FAP,G,False,False,False,False,False,352,,,11.6,1.4,3.6,1.4,1.9,0.2,1.7,2.0,0.6,0.1,0.6,4.4,0.0,0.0,,10.7,False
353,David Nwaba,OKC,SG,False,False,False,False,False,353,,,,,,,,,,,,,,,0.0,0.0,,,False
354,Rayan Rupert,Por,SG,False,False,False,False,False,354,,,16.7,1.8,5.1,0.8,1.1,0.8,2.4,1.6,0.3,0.1,0.8,5.3,0.0,0.0,652.0,10.0,False
355,Alex Len,Sac,C,False,False,False,False,False,355,,,10.7,1.3,2.4,0.6,1.0,0.0,3.0,1.0,0.2,0.6,0.7,3.4,0.1,0.0,648.0,10.1,False
356,Garrett Temple,Tor,SG,False,False,False,False,False,356,,,13.8,1.4,3.7,0.4,0.6,0.7,1.8,1.0,0.6,0.2,0.5,3.9,0.0,0.0,633.0,9.6,False
357,Jeremiah Robinson-Earl,NOP,F,False,False,False,True,False,357,,,12.4,1.6,3.6,0.5,0.6,0.5,2.9,0.7,0.4,0.2,0.5,4.2,0.1,0.0,628.0,10.0,False
358,Nick Smith Jr.,Cha,SG,False,False,False,False,False,358,,,14.2,2.2,5.7,0.3,0.3,1.3,1.4,1.2,0.2,0.1,0.8,6.0,0.2,0.0,622.0,9.3,False
359,Max Christie,LAL,SG,False,False,False,False,False,359,,,13.8,1.4,3.4,0.5,0.6,0.6,2.1,0.8,0.3,0.2,0.5,4.0,0.3,0.1,589.0,8.7,False
360,Jalen Hood-Schifino,LAL,SG,False,False,False,False,False,360,,,11.3,2.0,4.7,1.5,2.1,0.5,1.3,0.8,0.3,0.2,0.9,6.0,0.2,0.0,555.0,8.3,False
361,Kira Lewis Jr.,Wsh,PG,False,False,False,False,False,361,,,11.1,1.7,4.3,0.6,0.7,0.4,1.3,1.4,0.4,0.1,0.7,4.5,0.0,0.0,551.0,8.6,False
362,Jericho Sims,NY,C,False,False,False,False,False,362,,,13.7,1.0,1.4,0.3,0.5,0.0,3.7,0.5,0.2,0.5,0.4,2.3,0.3,0.0,627.0,9.5,False
